"episode"	"instance"	"seed"	"A_DN_HistogramMode_5"	"A_DN_HistogramMode_10"	"A_CO_f1ecac"	"A_CO_FirstMin_ac"	"A_CO_HistogramAMI_even_2_5"	"A_CO_trev_1_num"	"A_MD_hrv_classic_pnn40"	"A_SB_BinaryStats_mean_longstretch1"	"A_SB_TransitionMatrix_3ac_sumdiagcov"	"A_PD_PeriodicityWang_th0_01"	"A_CO_Embed2_Dist_tau_d_expfit_meandiff"	"A_IN_AutoMutualInfoStats_40_gaussian_fmmi"	"A_FC_LocalSimple_mean1_tauresrat"	"A_DN_OutlierInclude_p_001_mdrmd"	"A_DN_OutlierInclude_n_001_mdrmd"	"A_SP_Summaries_welch_rect_area_5_1"	"A_SB_BinaryStats_diff_longstretch0"	"A_SB_MotifThree_quantile_hh"	"A_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1"	"A_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1"	"A_SP_Summaries_welch_rect_centroid"	"A_FC_LocalSimple_mean3_stderr"	"A_DN_Mean"	"A_DN_Spread_Std"	"R_DN_HistogramMode_5"	"R_DN_HistogramMode_10"	"R_CO_f1ecac"	"R_CO_FirstMin_ac"	"R_CO_HistogramAMI_even_2_5"	"R_CO_trev_1_num"	"R_MD_hrv_classic_pnn40"	"R_SB_BinaryStats_mean_longstretch1"	"R_SB_TransitionMatrix_3ac_sumdiagcov"	"R_PD_PeriodicityWang_th0_01"	"R_CO_Embed2_Dist_tau_d_expfit_meandiff"	"R_IN_AutoMutualInfoStats_40_gaussian_fmmi"	"R_FC_LocalSimple_mean1_tauresrat"	"R_DN_OutlierInclude_p_001_mdrmd"	"R_DN_OutlierInclude_n_001_mdrmd"	"R_SP_Summaries_welch_rect_area_5_1"	"R_SB_BinaryStats_diff_longstretch0"	"R_SB_MotifThree_quantile_hh"	"R_SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1"	"R_SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1"	"R_SP_Summaries_welch_rect_centroid"	"R_FC_LocalSimple_mean3_stderr"	"R_DN_Mean"	"R_DN_Spread_Std"
"11"	1	2	1	-0.00883911144457805	-0.355514235891194	1	1	0.00205225152056102	0.134860354194257	0.755475547554755	11	0.0364583333333333	5	0.106347722429573	2	0.000803858520900322	0.3384	-0.1476	0.238674180580276	7	2.0588050805333	0.88	0.7	1.48566039306734	1.13065630850592	5.40461009279625e-15	0.999999999999995	0.0412158530707409	0.375466138529919	1085	5016	0.698430518467355	0.000981520160839106	0.0009000900090009	4983	0.166666666666667	0	0.187529189455922	40	0.000771406531241965	0.5017	-0.9385	0.997779926560401	1	0.69409505887647	0.86	0.88	0.000766990393942871	0.0371750016119207	-5.99300384873658e-12	1.00000000000009
"12"	41	2	1	0.0178334180666286	-0.312707213900162	1	1	0.000773180102034754	0.0988884457728923	0.697069706970697	10	0.0204479758497444	5	0.111999713976242	3	0.0153846153846154	0.3331	-0.1129	0.220181836391091	5	1.92729636973741	0.86	0.84	1.52861185512814	1.13689553293946	-1.11051168261156e-14	0.999999999999991	-1.29313086885596	-0.351537452325269	1214	8389	0	0.352587958607993	0.0007000700070007	8388	0.166666666666667	1215	0.00052285032759434	40	0.00088261253309797	0.419	-0.8389	0.965224213201498	1	0.680882276456706	0.3	0.86	0.000766990393942871	0.116190411436577	7.53073097214951e-12	0.999999999999733
"13"	81	2	1	-0.0111995208669248	-0.328543068864601	1	1	0.00146739906551285	0.23700152579745	0.702370237023702	10	0.0220385674931129	7	0.109260854891269	4	0.00118483412322275	0.3436	-0.1146	0.232799506218311	8	1.92635597376964	0.78	0.82	1.52861185512814	1.12819941522685	-8.31548163660045e-15	0.999999999999989	-0.640326062420531	0.226208258323295	1640	6882	0.0584769253573469	0.0971135648277163	0.0022002200220022	3631	0.166666666666667	3169	0.0114473199151185	40	0.00114744693057946	0.688	-0.8008	0.977076208557506	1	0.769522819943421	0.78	0.64	0.000383495196971436	0.129651337711058	-7.7168600398636e-13	1.00000000000006
"14"	121	2	1	0.0409035956119902	-0.29936486151505	1	5	0.00077003824527594	0.0711369701360991	0.6999699969997	9	0.0208333333333333	8	0.114905634567812	4	0.000834028356964137	0.4166	-0.106	0.231531109677956	6	1.92559031045255	0.88	0.78	1.48527689787037	1.13236074472566	1.28439814339742e-14	1.00000000000001	-1.14694116746057	-0.295819711195066	374	6410	0.0610097708351361	0.0125501320145091	0.0014001400140014	6409	0.166666666666667	1004	0.0940181855578811	40	0.00170551449687322	0.5858	-0.9888	0.985395827837066	1	0.653780139079124	0.76	0.68	0.00498543756062866	0.089994278558957	-9.97272311398234e-12	0.999999999999978
"15"	161	2	1	0.114125799413794	-0.262864603304415	1	2	0.000864411224800749	0.16394997011047	0.695869586958696	10	0.0150462962962963	4	0.100958629960012	1	0.00245098039215686	0.3126	-0.12655	0.219116845371059	5	1.92127162051198	0.86	0.82	1.52477690315843	1.13793342914736	1.57877710904586e-14	0.999999999999975	-0.816847351777044	-0.111802958099283	1536	7245	0.0126179424509537	0.0250286676294944	0.0013001300130013	7244	0.111111111111111	2732	0.0333912753628883	40	0.00273117440499415	0.2757	-0.7248	0.990295780944777	1	0	0.12	0.86	0.000766990393942871	0.0573366886376483	-3.02307308075456e-12	0.999999999999959
"16"	201	2	1	0.0441029527958419	-0.302330181662166	1	1	0.00129558163198364	0.0230545801006483	0.705370537053705	10	0.0205761316872428	5	0.107140714181663	4	0.000947867298578199	0.35245	-0.1194	0.223097242747299	5	1.93575492161989	0.82	0.88	1.54970409096157	1.13615944576513	8.78790373803895e-15	1.00000000000003	0.159130760797027	0.817468148805006	1774	5620	0.403174504277734	0.0145104580771858	0.0011001100110011	4688	0.166666666666667	0	0.0565374308277044	40	0.000510204081632653	0.7817	-0.8675	0.991732769703873	1	1.06273137494997	0.58	0.88	0.000383495196971436	0.0694945252458765	-5.47568390629749e-13	1.00000000000003
"17"	241	2	1	0.0651775606933854	-0.285997068343276	1	2	0.00111113842970058	0.0740323353826347	0.695669566956696	9	0.0604686318972033	3	0.112402885597752	1	0.00211416490486258	0.2943	-0.12185	0.221394555055592	6	1.91802020430822	0.86	0.82	1.53398078788574	1.13839262472404	4.99826846578344e-15	0.999999999999998	0.0197016703244133	0.455750192887254	1320	7325	0.61428995695987	0.00408336853110338	0.0013001300130013	4833	0.166666666666667	2591	0.0866110131457477	40	0.000544662309368192	0.6222	-0.9735	0.995956380225716	1	1.02743361823782	0.58	0.86	0.00115048559091431	0.0551009761135831	-3.02366311988322e-12	1.00000000000006
"18"	281	2	1	0.0525578281474793	-0.29680266693433	1	2	0.00110395360700949	0.129941408956296	0.698369836983698	11	0.0452674897119342	8	0.11086794417569	1	0.000960614793467819	0.2852	-0.1272	0.225243200418643	5	1.92381987880439	0.84	0.8	1.4956312681886	1.13679739290601	1.46821999003066e-15	0.999999999999998	-1.72239239084681	-0.196243110710048	281	8361	0.0119138147949852	0.371174482009744	0.0015001500150015	1642	0.166666666666667	1923	0.00638632864319104	40	0.00110314396028682	0.836	-0.9711	0.950798682899299	1	0.98801808139296	0.4	0.26	0.00498543756062866	0.133103063131927	3.28220619572051e-12	0.999999999999795
"19"	321	2	1	0.0609108929188981	-0.288826890128867	1	1	0.0012346085017772	0.105200816664261	0.701970197019702	10	0.0390946502057613	8	0.102013500347734	2	0.00187265917602996	0.3646	-0.09955	0.222341074780968	5	1.92775911876085	0.88	0.64	1.5493205957646	1.13697140535514	1.6063617103157e-14	0.999999999999961	-1.54078561513465	-0.639905912575083	340	9005	0.0352704132760274	0.0245018622216068	0.001000100010001	9004	0.333333333333333	938	0.0486070945704874	40	0.00201409869083585	0.0995999999999999	-0.9944	0.98260836207393	1	0	0.6	0.86	0.00383495196971436	0.0872458018526337	-4.48460650837035e-12	0.999999999999772
"20"	361	2	1	0.0651479217620543	-0.289306610612294	1	1	0.000905251474273394	0.146022953141995	0.7002700270027	9	0.0545267489711934	4	0.104094969954031	3	0.00189393939393939	0.3147	-0.113	0.22623172042583	6	1.93443331918782	0.88	0.8	1.4956312681886	1.13646268799046	1.38429490093017e-14	1.00000000000005	0.18212681077133	-0.216320629673771	1881	6377	0.604222573359837	0.00435829532018905	0.0013001300130013	6376	0.166666666666667	2313	0.0764722978972276	40	0.000851063829787234	0.6247	-0.9884	0.996835924340491	1	0.655670130336296	0.68	0.86	0.000383495196971436	0.0485577848284121	-7.26557844998865e-12	0.999999999999842
"21"	42	3	1	0.0267881413614848	-0.297173830336972	1	1	0.00130642399137877	0.21626900195071	0.675667566756676	9	0.0334486735870819	6	0.113396351001395	2	0.00170940170940171	0.3108	-0.1119	0.223111877818926	7	1.8590559581951	0.88	0.82	1.54586913899186	1.13796271872915	1.06485487094687e-14	1.00000000000005	-9.98999999999894	-4.98999999999948	1	10000	0	100.010001000068	0.0001000100010001	9998	0.333333333333333	0	0.00157485672785394	40	1	0	-0.9998	0.199870120846905	1	0	0.64	0.6	1.570796326795	0.333383344586123	1.84275476822204e-15	0.99999999999954
"22"	3	4	1	-0.353423294257703	-0.621623710921802	1	3	0.00108435159251195	0.0459784561468422	0.86968696869687	17	1.19423883582478e-05	8	0.138479630607713	3	0.333333333333333	0.1608	-0.0854	0.215390359845869	6	2.19493840854928	0.12	0.88	1.47185456597637	1.14918450428593	2.94032020953239e-15	0.999999999999964	-1.80569017435518	-0.803343202346081	29	7161	0.0278605199444633	0.028318755509234	0.0018001800180018	7160	0.0740740740740741	0	0.0464302933686936	14	0.00138985406532314	0.6535	-0.9866	0.978821642065933	1	0.694097699673234	0.5	0.32	0.0329805869395435	0.118691684787252	-2.56547894039727e-14	0.999999999999816
"23"	43	4	1	-0.118635969365183	-0.418261198821471	1	3	0.00122642738127286	0.158648964996762	0.763776377637764	11	0.00914908959798089	4	0.127614575346496	2	0.00862068965517241	0.3028	-0.127	0.227199463861546	6	2.07523511550236	0.86	0.76	1.49639825858254	1.13963153178316	-7.38261674015917e-15	0.999999999999989	-6.42014197273979	-3.09419992390372	2	5985	0	22.3146690553574	0.0009000900090009	5984	0.166666666666667	0	0.0016063226836421	40	0.000773594636410521	0.4016	-0.978	0.493246242093214	1	1.08648873705226	0.6	0.84	0.64120396933624	0.492132867730369	2.27347751735607e-14	1.00000000000023
"24"	83	4	1	-0.107480644312662	-0.41086145401047	1	2	0.00109889072050138	0.0789599362990704	0.762276227622762	10	0.00875	6	0.124099902324302	1	0.0040650406504065	0.3326	-0.12335	0.220604694477573	6	2.06864948531917	0.88	0.78	1.52209243677963	1.13970605412095	1.28590138537277e-14	1.00000000000002	-0.801174350058795	-0.156667254837797	279	6833	0.154803677866675	0.00487397914547338	0.0015001500150015	6832	0.0740740740740741	3107	0.106206975471759	40	0.00128783000643915	0.3218	-0.9471	0.991592974828523	1	0.449060730367166	0.44	0.68	0.00460194236365723	0.064150615203988	-7.06266045646942e-14	1.00000000000003
"25"	123	4	1	-0.0597937529104732	-0.385748185885966	1	2	0.00121123043598114	0.102311338202274	0.753375337533753	10	0.0299479166666667	2	0.126602641834014	1	0.00162074554294976	0.3134	-0.1168	0.234694202530305	6	2.07062716308969	0.86	0.78	1.52055845599174	1.12844229473421	1.3180800895185e-14	0.999999999999978	-1.48764280564678	-0.409768652851074	727	6064	0.00403069558771566	0.189470933767756	0.0005000500050005	3935	0.166666666666667	1117	0.0065473818537975	40	0.000508130081300813	0.6065	-0.8874	0.971759465537465	1	0.671276084571252	0.86	0.36	0.00153398078788574	0.203947331375788	3.38015171408301e-14	0.999999999999972
"26"	163	4	1	-0.0643516359820134	-0.39044208637411	1	1	0.000999130985417753	0.147817025730454	0.769276927692769	11	0.00760050059521993	4	0.120824806559746	3	0.0181818181818182	0.2811	-0.11945	0.219159575392889	6	2.08141255826687	0.88	0.82	1.5332137974918	1.13691086047331	9.16334785827644e-15	1.00000000000001	-6.57774309472011	-3.24665378703435	2	9744	0	21.5870657613263	0.0008000800080008	9743	0.166666666666667	0	0.00159548207874556	1	0.000260416666666667	0.3979	-0.9964	0.506047841869973	1	1.07235733716921	0.76	0.36	0.615509791139154	0.449643065877901	-9.19807285892915e-15	0.999999999999996
"27"	203	4	1	-0.0202450805451658	-0.363698395808225	1	2	0.000741700078020135	0.102825734531493	0.763176317631763	10	0.0220833333333333	2	0.103171749836431	1	0.00404858299595142	0.3258	-0.1266	0.230480845440584	6	2.07359946202344	0.86	0.86	1.51135457126443	1.13360045045883	-1.26503252317889e-14	1.00000000000007	-4.8008266378584	-2.34661547179307	3	7558	0.00162644504573327	9.91307831239855	0.0011001100110011	7557	0.166666666666667	0	0.00159284609695804	3	0.000254971953085161	0.435	-0.9712	0.710369112266844	1	0.685596288193366	0.12	0.44	0.372373836259264	0.577558589068145	-2.61935140244418e-14	0.999999999999993
"28"	243	4	1	-0.0068383472891318	-0.363515553369296	1	2	0.000879254104165951	0.165201343484093	0.761376137613761	9	0.037037037037037	2	0.110149056096706	1	0.000972762645914397	0.3436	-0.1302	0.235398860379014	6	2.07645885782123	0.88	0.78	1.49217981141586	1.12721665226042	5.95922478030531e-15	0.999999999999954	-5.32292379098855	-2.60075653748654	38	9598	0.0258286123514658	4.37450013890587	0.0012001200120012	9597	0.256944444444444	282	0.00026703053624406	28	0.0124069478908189	0.0404	-0.9953	0.814156828290644	1	0.414790840638122	0.58	0.48	0.0322135965456006	0.177991506497376	2.62124572047995e-14	1.00000000000035
"29"	283	4	1	-0.125279792892193	-0.416538291765663	1	2	0.000821799694609396	0.0578124913998581	0.753175317531753	10	0.0340136054421769	6	0.130799172190555	1	0.000759878419452888	0.2914	-0.1518	0.221935390606955	6	2.0604570187409	0.84	0.74	1.53167981670391	1.13552507343865	5.18223242096383e-15	0.999999999999988	-1.89215957369205	-0.81103510157876	48	8459	0.0322698628866534	0.0667279462769383	0.0014001400140014	8458	0.0833333333333333	374	0.020959870190006	40	0.00189633375474083	0.1579	-0.9949	0.973476920891598	1	0.952660079145877	0.54	0.42	0.0191747598485718	0.114015455784967	-3.57525675731551e-14	1.00000000000014
"30"	323	4	1	0.0725387278073271	-0.316731256395178	1	3	0.000612116416781435	0.0654303426724278	0.751975197519752	10	0.00406262386048355	3	0.104808822214355	2	0.00584795321637427	0.3277	-0.1162	0.22345620768051	6	2.06370668189884	0.88	0.76	1.52170894158266	1.13846959460797	1.31831323635367e-14	0.999999999999979	-9.85845199054869	-4.89533938607189	1	8014	0	84.7311733253381	0.001000100010001	8013	0.0740740740740741	0	0.00169240872426708	2	0.000366032210834553	0.6902	-0.9875	0.244573874763223	1	0.619949397276371	0.74	0.12	1.45459728211266	0.34256620984692	1.62840185780055e-14	1.00000000000013
"31"	363	4	1	-0.0596479345545531	-0.387302190527974	1	4	0.0013971941767401	0.0456919107709599	0.759375937593759	11	0.042962962962963	4	0.117334981512722	3	0.00151285930408472	0.3289	-0.13005	0.237438680525945	6	2.0698767387727	0.84	0.72	1.46380116683997	1.1307224732439	-1.38744460365103e-14	1	-2.10890674517673	-0.918531261813044	14	7634	0.0139615151568035	0.322144178247397	0.0013001300130013	7609	0.166666666666667	2338	0.00269862234071429	14	0.000556018904642758	0.5091	-0.9949	0.963125660992831	1	1.07380505239043	0.36	0.12	0.0640436978942297	0.200854588640102	-1.05431785524246e-13	1.00000000000009
"32"	4	5	1	-0.190330685187315	-0.498850507027766	1	2	0.0010664031945279	0.087449647758175	0.822282228222822	12	0.00712834718374885	2	0.123799239928136	1	0.00952380952380952	0.315	-0.1514	0.235964486343911	7	2.16408159726388	0.88	0.82	1.4983157345674	1.12719707194026	1.37058975280269e-14	1.00000000000004	-4.22147585501313	-2.03563916714612	7	6545	0.0119914764172673	0.690928722661444	0.001000100010001	6544	0.166666666666667	0	0.00595733904057583	4	0.000579374275782155	0.7247	-0.9912	0.906193313291996	1	1.091850268572	0.34	0.88	0.124635939015717	0.285590396938093	2.25526042285651e-14	0.999999999999854
"33"	44	5	1	-0.0593404283899837	-0.374551992832309	1	2	0.000556866670392574	0.173408059129504	0.732173217321732	10	0.029585798816568	2	0.124801908194078	1	0.00136986301369863	0.3262	-0.1321	0.219700066794701	7	2.01714724895306	0.88	0.84	1.53819923505243	1.13659117671403	-1.00928154722624e-14	1.00000000000001	-2.03203521525952	-0.813552787878963	13	5053	0.0119495060828149	0.321804438287875	0.0008000800080008	5052	0.166666666666667	2160	0.00221447109151778	17	0.000253421186011151	0.4948	-0.9879	0.963361465149782	1	0.952814299574135	0.34	0.84	0.0763155441973157	0.203207506089379	-1.65861879786178e-13	1.00000000000029
"34"	84	5	1	-0.0523945060949583	-0.368718054087156	1	1	0.00110315968636283	0.160025925981373	0.738373837383738	12	0.0520833333333333	3	0.121620870537391	2	0.0008058017727639	0.3436	-0.1252	0.228087718273649	6	2.02483366065507	0.84	0.78	1.53167981670391	1.13611663997746	1.13750453500927e-14	1	-8.19692697313059	-4.05549705997408	2	9090	0	15.2975632251687	0.001000100010001	9089	0.12962962962963	0	0.00130012375429197	1	0.00122399020807834	0.1673	-0.9956	0.413119626994772	1	0	0.78	0.86	0.8041894280491	0.46584391456399	5.50327838855225e-15	0.999999999999772
"35"	124	5	1	-0.0563658213429578	-0.370095152138405	1	2	0.000652376284167364	0.218660155858403	0.736673667366737	9	0.0221354166666667	8	0.116064340129819	1	0.00169491525423729	0.3506	-0.1266	0.228996513523166	7	2.02224428485844	0.88	0.86	1.50061670574923	1.13091283760904	1.56980650700689e-14	0.999999999999989	-3.79623088593186	-1.84399341944551	33	9439	0.00706016867700397	0.26246297272575	0.0012001200120012	9438	0.106666666666667	0	0.0157075704564797	40	0.00520231213872832	0.0562	-0.9889	0.9123197918808	1	0	0.2	0.68	0.0529223371820581	0.199018104562381	3.91716242775786e-14	0.999999999999925
"36"	164	5	1	-0.00884506058872825	-0.347311751212587	1	1	0.00139397280186439	0.142741088926206	0.746574657465747	10	0.0991926182237601	7	0.113494172709184	3	0.00171526586620926	0.336	-0.1223	0.229670334234378	5	2.03129722591015	0.84	0.82	1.52669437914328	1.13132911730291	1.07321311559883e-14	1.00000000000003	-2.55592826410475	-1.1388032539686	26	5438	0.0184378065136642	0.154546881642677	0.0015001500150015	5437	0.166666666666667	0	0.0152629388254425	27	0.000235793444942231	0.4564	-0.9845	0.955528649799207	1	0.688721241815263	0.54	0.2	0.0306796157577148	0.128918540063102	-9.76555170062454e-14	0.999999999999947
"37"	204	5	1	-0.0623234095259966	-0.369572888143233	1	2	0.00110355586530273	0.186298809370529	0.728072807280728	10	0.0330578512396694	5	0.118063260005687	1	0.00117785630153121	0.3403	-0.1205	0.230121396559761	7	2.00530939686865	0.86	0.8	1.4983157345674	1.13300463401057	3.235327283857e-15	0.999999999999991	-2.17519375790702	-0.969263993278545	17	7272	0.0147711907794779	0.179586465355017	0.001000100010001	7271	0.111111111111111	2333	0.00762454107110154	40	0.00204918032786885	0.461	-0.7623	0.956872451578282	1	0.691037316372314	0.4	0.14	0.056373793954801	0.173251746495999	4.71275962699025e-14	1.00000000000013
